dataset,random_mean,random_std,cluster_mean,cluster_std,improvement_pct,wilcoxon_p
ADULT,0.2316,0.0049,0.3169,0.0067,36.8,0.0312
COMPAS,0.2264,0.005,0.4398,0.0097,94.3,0.0312
