run,method,idi_ratio
1,Random Search,0.2272
1,Cluster-Guided,0.308
2,Random Search,0.2374
2,Cluster-Guided,0.314
3,Random Search,0.2248
3,Cluster-Guided,0.3232
4,Random Search,0.2362
4,Cluster-Guided,0.326
5,Random Search,0.2326
5,Cluster-Guided,0.3134
